"SurveyID","Old_Name","Agency","District","Region","LHZ","Start_Date","End_Date","Recall_Days","Quality_Score","UnkCode","InjCode","ViolCode"
"SOM_2013_11_admin2_baydhaba_NA","SOM_2013_admin2_Baydhaba.as","FSNAU","baydhaba","Bay",NA,"2013-11-29","2013-11-29","90",NA,"0","0",NA
"SOM_2014_01_admin2_beletweyne_NA","SOM_2013_admin2_BeletWeyne_2.as","FSNAU","beletweyne","hiran",NA,"2014-01-04","2014-01-04","90",NA,"0","0",NA
"SOM_2013_12_admin2_mogadishu_idp","SOM_2013_admin2_Mogadishu_IDP.as","FSNAU","banadir","banadir","idp","2013-12-16","2013-12-16","90",NA,"0","0",NA
"SOM_2014_12_admin2_bari_urban","SOM_2014_11_admin1_Bari urban.as","FSNAU","bari","Bari","urban","2014-12-04","2014-12-04","90",NA,"0","0",NA
"SOM_2014_05_admin2_burco_idp","SOM_2014_admin2_Burco_IDP.as","FSNAU","burco","Togdheer","idp","2014-05-22","2014-05-22","90",NA,"0","0",NA
"SOM_2014_06_admin2_hargeysa_idp","SOM_2014_admin2_Hargeysa IDP.as","FSNAU","hargeysa","Woqooyi Galbeed","idp","2014-06-16","2014-06-16","90",NA,"0","0",NA
"SOM_2014_11_admin2_baardheere_NA","SOM_201411_admin2_Baardheere (Dhobley)IDP.as","FSNAU","baardheere","ngedo",NA,"2014-11-14","2014-11-14","93",NA,"0",NA,NA
"SOM_2014_11_admin2_bossaso_idp","SOM_201411_admin2_Bossaso IDP.as","FSNAU","bossaso","Bari","idp","2014-11-15","2014-11-15","90",NA,"0","0",NA
"SOM_2014_11_admin2_doolow_idp","SOM_201411_admin2_Doolow IDP.as","FSNAU","doolow","Gedo","idp","2014-11-25","2014-11-25","93",NA,"0",NA,NA
"SOM_2014_11_admin2_qardho_idp","SOM_201411_admin2_qardho IDP.as","FSNAU","qardho","Bari","idp","2014-11-16","2014-11-16","90",NA,"0","0",NA
"SOM_2015_05_admin2_berbera_idp","SOM_2015_admin2_Berbera IDP.as","FSNAU","berbera","Woqooyi Galbeed","idp","2015-05-29","2015-05-29","90",NA,"0","0",NA
"SOM_2015_05_admin2_burco_idp","SOM_2015_admin2_Burco IDP.as","FSNAU","burco","Togdheer","idp","2015-05-25","2015-05-25","90",NA,"0","0",NA
"SOM_2015_11_admin2_doolow_idp","SOM_2015_admin2_Doolow IDP.as","FSNAU","doolow","Gedo","idp","2015-11-16","2015-11-16","93",NA,"0",NA,NA
"SOM_2015_05_admin2_hargeysa_idp","SOM_2015_admin2_Hargeysa IDP.as","FSNAU","hargeysa","Woqooyi Galbeed","idp","2015-05-26","2015-05-26","90",NA,"0","0",NA
"SOM_2015_11_admin2_kismayo_rainfed","SOM_2015_admin2_Kismayo Agropastoral.as","FSNAU","kismayo","lower juba","rainfed","2015-11-17","2015-11-17","90",NA,"0","0",NA
"SOM_2015_11_admin2_mogadishu_urban","SOM_2015_admin2_Mogadishu urban.as","FSNAU","banadir","banadir","urban","2015-11-16","2015-11-16","93",NA,"0",NA,NA
"SOM_NA_NA_admin2_baardheere_idp","SOM_201605_admin2_Baardheere_dhobley_IDP.as","FSNAU","baardheere","ngedo","idp","2016-01-06","2024-06-02","90","0.94","0",NA,NA
"SOM_2016_05_admin2_baydhaba_idp","SOM_201605_admin2_Baydhaba IDP.as","FSNAU","baydhaba","Bay","idp","2016-05-28","2016-05-31","90","0.95","0",NA,NA
"SOM_2016_01_admin2_berbera_idp","SOM_201605_admin2_Berbera IDP.as","FSNAU","berbera","Woqooyi Galbeed","idp","2016-01-05","2016-05-31","90","0.77","0",NA,NA
"SOM_2016_02_admin2_bossaso_idp","SOM_201605_admin2_Bossaso IDP.as","FSNAU","bossaso","Bari","idp","2016-02-06","2016-05-31","90","0.84","0",NA,NA
"SOM_2016_05_admin2_burco_idp","SOM_201605_admin2_Burco IDP.as","FSNAU","burco","Togdheer","idp","2016-05-28","2016-06-03","90","0.93","0",NA,NA
"SOM_2016_03_admin2_dhusamareeb_idp","SOM_201605_admin2_Dhusamareeb IDP.as","FSNAU","dhusamareb","GalguduudĀ","idp","2016-03-06","2016-05-30","90","0.89","0",NA,NA
"SOM_2016_01_admin2_doolow_idp","SOM_201605_admin2_Doolow IDP.as","FSNAU","doolow","Gedo","idp","2016-01-06","2016-06-01","90","0.83","0",NA,NA
"SOM_2016_02_admin2_galkayo_idp","SOM_201605_admin2_Galkayo IDP.as","FSNAU","galkacyo","mudug","idp","2016-05-27","2016-06-03","90","0.92","0",NA,NA
"SOM_2016_01_admin2_garoowe_idp","SOM_201605_admin2_Garoowe_IDP.as","FSNAU","garoowe","Nugaal","idp","2016-01-06","2016-05-30","90","0.88","0",NA,NA
"SOM_2016_02_admin2_mogadishu_idp","SOM_201605_admin2_Mogadishu Agropastoral.as","FSNAU","banadir","banadir","idp","2016-02-06","2016-06-01","90","0.95","0",NA,NA
"SOM_2016_05_admin2_qardho_idp","SOM_201605_admin2_qardho IDP.as","FSNAU","qardho","Bari","idp","2016-05-28","2016-06-12","93","0.93","0",NA,NA
"SOM_2018_03_admin2_garoowe_idp","SOM_201803_admin2_Garoowe IDP.as","FSNAU","garoowe","Nugaal","idp","2018-03-11","2018-03-16","104","0.94","0",NA,NA
